0	0.007	-0.031	2623.98
1	0.0145	-0.047	5304.16
2	-0.0025	-0.0165	7883.44
3	0.0325	-0.0105	10557.7
4	0.087	-0.0235	13000.8
5	0.0875	0.0005	15724.7
6	0.068	-0.0225	18268.7
7	0.084	-0.015	20589.4
8	0.0835	-0.02	23374.3
9	0.1005	-0.0165	25795.3
10	0.0675	-0.023	28792.8
11	0.071	-0.014	31479.5
12	0.051	-0.0305	33815.9
13	0.051	-0.0495	36562.9
14	0.0305	-0.068	38909.9
15	0.01	-0.082	41534.4
16	-0.007	-0.0695	43911.2
17	0.0035	-0.056	46700.7
18	0.032	-0.054	49748.1
19	0.0555	-0.0575	52437.2
20	0.072	-0.0525	55197.1
21	0.107	-0.0485	57679.4
22	0.126	-0.0425	59289.6
23	0.1245	-0.06	61906.8
24	0.1205	-0.0465	64756.6
25	0.1355	-0.0765	67161.6
26	0.134	-0.082	70530.6
27	0.1245	-0.071	72451.9
28	0.1205	-0.075	75166.7
29	0.1275	-0.0475	77659
30	0.157	-0.03	80348.9
31	0.178	-0.017	83642.1
32	0.1665	-0.047	86923.1
33	0.166	-0.039	89189.8
34	0.186	-0.0715	92257.6
35	0.2015	-0.0865	94989.8
36	0.1705	-0.087	97215.7
37	0.171	-0.1175	100509
38	0.1595	-0.103	103947
39	0.1785	-0.089	106755
40	0.184	-0.0785	110357
41	0.1725	-0.101	113305
42	0.1805	-0.098	116347
43	0.1845	-0.105	119717
44	0.197	-0.099	121915
45	0.1785	-0.132	125366
46	0.173	-0.1445	128557
47	0.223	-0.173	130185
48	0.199	-0.162	133324
49	0.189	-0.163	136311
50	0.1695	-0.1795	138304
51	0.1645	-0.1595	140749
52	0.1845	-0.1625	144613
53	0.1665	-0.158	146584
54	0.168	-0.149	150211
55	0.1715	-0.1665	153358
56	0.1445	-0.181	155062
57	0.138	-0.157	157105
58	0.149	-0.166	159054
59	0.123	-0.1725	162093
60	0.14	-0.1685	164867
61	0.133	-0.176	166543
62	0.11	-0.1785	169007
63	0.1105	-0.199	171583
64	0.1535	-0.1945	175565
65	0.166	-0.167	176865
66	0.158	-0.155	180052
67	0.157	-0.152	182508
68	0.1565	-0.113	184982
69	0.17	-0.1025	188240
70	0.211	-0.102	189006
71	0.214	-0.124	192018
72	0.198	-0.1445	196139
73	0.199	-0.1405	198852
74	0.224	-0.124	201455
75	0.21	-0.134	203566
76	0.2065	-0.1055	205774
77	0.224	-0.102	209005
78	0.222	-0.1035	212033
79	0.226	-0.0905	213542
80	0.2585	-0.109	215590
81	0.25	-0.094	217247
82	0.255	-0.0885	220189
83	0.254	-0.086	223898
84	0.2505	-0.0645	226818
85	0.2695	-0.082	229602
86	0.267	-0.076	232130
87	0.242	-0.091	234192
88	0.249	-0.0965	235600
89	0.2525	-0.091	238623
90	0.2465	-0.077	239556
91	0.241	-0.0595	240446
92	0.2115	-0.0625	243145
93	0.215	-0.0525	243761
94	0.235	-0.081	244398
95	0.276	-0.0825	248631
96	0.3025	-0.0905	252395
97	0.3135	-0.0955	255791
98	0.321	-0.108	258093
99	0.348	-0.11	261142
